condition,mapping,gc_threshold,workload,repetitions,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
page-gc50,page,50,randread-4k-qd1,3,25915.751404,0.0,25915.751404,101.23340320587158,0.0,101.23340320587158,51.456,0.0,51.456,89.6,0.0,89.6,0.0,0.0,1.0
page-gc50,page,50,randread-4k-qd32,3,281068.198863,0.0,281068.198863,1097.924735069275,0.0,1097.924735069275,201.728,0.0,201.728,259.072,0.0,259.072,0.0,0.0,1.0
page-gc50,page,50,randrw30-4k-qd32,3,48509.274845,113144.880919,161655.472408,189.48974514007568,441.97401332855225,631.4687061309814,268.288,309.248,309.248,8716.288,8847.36,8847.36,7851920.0,980532.0,1.1249094336336443
page-gc50,page,50,randrw70-4k-qd32,3,154525.82457,66209.746504,220735.57107399998,603.61754322052,258.63286304473877,862.2504062652588,280.576,329.728,329.728,378.88,489.472,489.472,4579969.0,574107.0,1.1253517218129643
page-gc50,page,50,randwrite-4k-qd1,3,0.0,4752.137464,4752.137464,0.0,18.563036918640137,18.563036918640137,0.0,228.352,228.352,0.0,296.96,296.96,332898.0,0.0,1.0
page-gc50,page,50,randwrite-4k-qd32,3,0.0,135338.527691,135338.527691,0.0,528.6682062149048,528.6682062149048,0.0,280.576,280.576,0.0,8978.432,8978.432,9463327.0,1181685.0,1.1249147456873898
page-gc50,page,50,read-128k-qd1,3,10001.233313,0.0,10001.233313,1250.1541633605957,0.0,1250.1541633605957,166.912,0.0,166.912,205.824,0.0,205.824,0.0,0.0,1.0
page-gc50,page,50,read-128k-qd32,3,61294.428426,0.0,61294.428426,7661.8681354522705,0.0,7661.8681354522705,913.408,0.0,913.408,1122.304,0.0,1122.304,0.0,0.0,1.0
page-gc50,page,50,write-128k-qd1,3,0.0,4568.60719,4568.60719,0.0,571.0758981704712,571.0758981704712,0.0,228.352,228.352,0.0,2146.304,2146.304,10235904.0,0.0,1.0
page-gc50,page,50,write-128k-qd32,3,0.0,9624.508366,9624.508366,0.0,1203.1281242370605,1203.1281242370605,0.0,5210.112,5210.112,0.0,5275.648,5275.648,21561856.0,0.0,1.0
