condition,mapping,gc_threshold,workload,repetitions,read_iops,write_iops,total_iops,read_bw_mib_s,write_bw_mib_s,total_bw_mib_s,read_p99_us,write_p99_us,worst_p99_us,read_p999_us,write_p999_us,worst_p999_us,host_write_pages,gc_write_pages,waf
page-gc90,page,90,randread-4k-qd1,3,25680.688655,0.0,25680.688655,100.31518936157227,0.0,100.31518936157227,52.48,0.0,52.48,66.048,0.0,66.048,0.0,0.0,1.0
page-gc90,page,90,randread-4k-qd32,3,257276.295395,0.0,257276.295395,1004.9875469207764,0.0,1004.9875469207764,226.304,0.0,226.304,284.672,0.0,284.672,0.0,0.0,1.0
page-gc90,page,90,randrw30-4k-qd32,3,51474.708755,120045.865902,171520.57465700002,201.07347106933594,468.9307909011841,670.00426197052,264.192,288.768,288.768,2736.128,2801.664,2801.664,8414529.0,101230.0,1.0120208949587766
page-gc90,page,90,randrw70-4k-qd32,3,158739.087682,68026.049566,226765.137248,620.0754070281982,265.7279930114746,885.8034000396729,280.576,333.824,333.824,382.976,485.376,485.376,4820253.0,59628.0,1.0123331820677006
page-gc90,page,90,randwrite-4k-qd1,3,0.0,4736.521058,4736.521058,0.0,18.50203514099121,18.50203514099121,0.0,230.4,230.4,0.0,313.344,313.344,332085.0,0.0,1.0
page-gc90,page,90,randwrite-4k-qd32,3,0.0,143889.41851,143889.41851,0.0,562.0700588226318,562.0700588226318,0.0,272.384,272.384,0.0,2899.968,2899.968,10091707.0,121165.0,1.012006392971972
page-gc90,page,90,read-128k-qd1,3,9868.118865,0.0,9868.118865,1233.5148572921753,0.0,1233.5148572921753,166.912,0.0,166.912,207.872,0.0,207.872,0.0,0.0,1.0
page-gc90,page,90,read-128k-qd32,3,58547.60754,0.0,58547.60754,7318.5155239105225,0.0,7318.5155239105225,962.56,0.0,962.56,1286.144,0.0,1286.144,0.0,0.0,1.0
page-gc90,page,90,write-128k-qd1,3,0.0,4533.02445,4533.02445,0.0,566.6280555725098,566.6280555725098,0.0,236.544,236.544,0.0,2179.072,2179.072,10149696.0,0.0,1.0
page-gc90,page,90,write-128k-qd32,3,0.0,9623.875075,9623.875075,0.0,1203.0489625930786,1203.0489625930786,0.0,5210.112,5210.112,0.0,5275.648,5275.648,21560544.0,0.0,1.0
